uid	analysisDate	namedLocation	domainID	siteID	plotID	plotType	startDate	collectDate	sampleID	sampleCode	cnSampleID	cnSampleCode	sampleType	acidTreatment	co2Trapped	d15N	organicd13C	nitrogenPercent	organicCPercent	CNratio	cnIsotopeQF	cnPercentQF	isotopeAccuracyQF	percentAccuracyQF	analyticalRepNumber	remarks	laboratoryName	testMethod	instrument	analyzedBy	reviewedBy	dataQF	publicationDate	release
d6955b85-53a5-4772-9dff-e973a67f447c	2018-01-22T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-19T21:09:00Z	2017-07-19T21:09:00Z	TOOL_042-M-9.5-15-20170719	NA	TOOL_042-M-9.5-15-20170719-CN	NA	soil	N	NA	2.6	-27.4	0.17	3.97	23.1	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
1f12c578-61d8-474c-86f6-fbecff2bf9bc	2018-02-07T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-19T21:52:00Z	2017-07-19T21:52:00Z	TOOL_042-O-22-9.5-20170719	NA	TOOL_042-O-22-9.5-20170719-CN	NA	soil	N	NA	2.8	-25.6	0.93	23.64	25.3	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
d5dcd666-53e1-440b-a1d0-e97c547a4960	2018-01-22T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-19T22:06:00Z	2017-07-19T22:06:00Z	TOOL_042-M-22-9.5-20170719	NA	TOOL_042-M-22-9.5-20170719-CN	NA	soil	N	NA	3.7	-27.2	0.17	4.27	24.8	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
e3984875-07df-4ba1-a4c1-8181a02bc874	2018-02-07T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-19T22:24:00Z	2017-07-19T22:24:00Z	TOOL_044-O-1.5-28.5-20170719	NA	TOOL_044-O-1.5-28.5-20170719-CN	NA	soil	N	NA	0.4	-27.2	1.27	40.6	31.9	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
bba99159-c6fd-4313-b06a-f8e5ae4b7ea3	2018-01-22T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-20T00:07:00Z	2017-07-20T00:07:00Z	TOOL_044-M-1.5-28.5-20170719	NA	TOOL_044-M-1.5-28.5-20170719-CN	NA	soil	N	NA	2.2	-26.8	0.35	7.51	21.6	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
90ab51be-300e-4827-a9f8-34059a7c6b40	2018-02-07T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-20T00:49:00Z	2017-07-20T00:49:00Z	TOOL_042-O-20-33-20170719	NA	TOOL_042-O-20-33-20170719-CN	NA	soil	N	NA	2.1	-25.7	1.07	40.32	37.5	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
e5b6104f-9b66-4c1f-bad8-e2a330102bb0	2018-02-07T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-20T00:56:00Z	2017-07-20T00:56:00Z	TOOL_044-O-35-32-20170719	NA	TOOL_044-O-35-32-20170719-CN	NA	soil	N	NA	2.6	-26.6	1.24	26.67	21.5	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
22717dfd-b073-4ece-90fa-e7b140196cf7	2018-01-22T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-20T01:11:00Z	2017-07-20T01:11:00Z	TOOL_044-M-35-32-20170719	NA	TOOL_044-M-35-32-20170719-CN	NA	soil	N	NA	3.7	-26.5	0.18	3.15	17.8	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
93127606-6137-4a17-bcfc-f588a2c61d77	2018-01-22T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-20T01:13:00Z	2017-07-20T01:13:00Z	TOOL_042-M-20-33-20170719	NA	TOOL_042-M-20-33-20170719-CN	NA	soil	N	NA	3.3	-26.6	0.27	5.65	20.6	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
74ed67f0-bd5b-4141-8854-324081e14fa5	2018-02-07T00:00:00Z	TOOL_044.basePlot.bgc	D18	TOOL	TOOL_044	tower	2017-07-20T02:14:00Z	2017-07-20T02:14:00Z	TOOL_044-O-35-14.5-20170719	NA	TOOL_044-O-35-14.5-20170719-CN	NA	soil	N	NA	1.8	-25.9	1.51	28.9	19.1	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
