sampleID	d15N	organicd13C	nitrogenPercent	organicCPercent
BONA_002-M-18.5-36-20190828	3.2	-26.8	0.3	4.96
BONA_009-M-31.5-32.5-20190828	3.8	-26.2	0.81	16.91
BONA_009-O-31.5-32.5-20190828	0.9	-27.7	1.53	46.22
BONA_002-O-33.5-34.5-20190828	0.9	-27.8	1.58	30.12
BONA_002-M-33.5-34.5-20190828	2.8	-26.6	0.17	2.47
BONA_009-M-2.5-24.5-20190828	3.3	-26.1	0.87	18.7
BONA_009-O-2.5-24.5-20190828	2.4	-27.2	1.65	38.42
BONA_084-O-5-10.5-20190830	1.9	-28	1.68	35.62
BONA_084-M-5-10.5-20190830	3.1	-27.6	0.22	3.98
BONA_001-M-26-4.5-20190830	3.9	-26.5	0.61	10.38
BONA_001-M-26-4.5-20190830	4.4	-26.6	0.6	10.44
BONA_001-O-26-4.5-20190830	2.8	-28.1	1.64	47.49
BONA_004-M-13.5-32.5-20190830	4.6	-26.4	0.21	4.24
BONA_004-O-13.5-32.5-20190830	0.2	-28.8	1.11	45.95
BONA_004-O-17-6.5-20190830	2.3	-28.6	0.8	33.91
BONA_004-M-17-6.5-20190830	5	-26.6	0.14	3.17
BONA_001-M-28-37.5-20190830	5.1	-27.5	0.12	2.35
BONA_001-O-28-37.5-20190830	2.2	-28.7	1.1	27.42
BONA_004-M-23.5-6.5-20190830	4.9	-26.6	0.11	2.34
BONA_004-O-23.5-6.5-20190830	2.4	-28	0.83	31.48
BONA_001-O-15-34-20190830	3.4	-27.8	1.45	36.94
BONA_001-M-15-34-20190830	4.4	-27	0.26	5.63
BONA_084-M-20.5-9.5-20190830	5	-27.6	0.09	1.85
BONA_084-O-20.5-9.5-20190830	3.2	-28.7	1.75	42.18
BONA_084-M-13.5-34-20190830	4	-27.8	0.12	2.76
BONA_084-O-13.5-34-20190830	2.6	-28.4	1.58	33.11
DEJU_006-O-25-32.5-20180618	0.5	-26.1	0.45	13.75
DEJU_006-M-25-32.5-20180618	5	-25.1	0.09	1.69
DEJU_006-O-2.5-37.5-20180618	-0.1	-25.2	0.73	15.03
DEJU_006-M-2.5-37.5-20180618	3.5	-25	0.14	2.47
DEJU_006-O-39.5-1.5-20180618	0.2	-26.2	1.1	38.24
DEJU_006-M-39.5-1.5-20180618	3.2	-25.4	0.48	11.03
DEJU_014-O-14-9-20180618	1.1	-27.7	1.31	39.91
DEJU_014-M-14-9-20180618	5.4	-26.4	0.15	3.11
DEJU_014-O-21-9.5-20180618	2.9	-27.9	0.5	11.17
DEJU_014-M-21-9.5-20180618	4.9	-26.4	0.2	3.52
DEJU_014-O-33.5-24.5-20180618	2.1	-27.4	0.68	13.41
DEJU_014-M-33.5-24.5-20180618	4	-26.6	0.17	3.1
DEJU_001-O-2-34.5-20180619	2.4	-26.2	0.65	14.61
DEJU_001-M-2-34.5-20180619	4.8	-26.4	0.23	5.03
DEJU_001-O-20.5-37.5-20180619	1.8	-26.8	0.86	24.34
DEJU_002-O-12.5-31-20180619	2.4	-27.9	0.6	15.63
DEJU_001-M-20.5-37.5-20180619	4.4	-26.5	0.23	5.29
DEJU_002-M-12.5-31-20180619	5	-26.7	0.05	0.8
DEJU_001-O-24.5-6.5-20180619	3.3	-26.3	0.71	19.02
DEJU_001-M-24.5-6.5-20180619	4.5	-26.3	0.21	4.6
DEJU_002-O-21.5-30-20180619	3.4	-27.6	0.56	15.04
DEJU_002-M-21.5-30-20180619	5.2	-26.7	0.06	1.04
DEJU_002-O-9-18-20180619	1.9	-27.9	0.85	21.81
DEJU_002-M-9-18-20180619	4.7	-26.4	0.09	2.03
DEJU_002-M-9-18-20180619	5	-26.6	0.08	1.82
DEJU_009-O-16.5-31.5-20180619	1.2	-26.6	1.1	20.43
DEJU_009-M-16.5-31.5-20180619	3.6	-25.9	0.16	2.64
DEJU_009-O-36.5-23.5-20180619	1.4	-26.5	1.33	30.06
DEJU_009-M-36.5-23.5-20180619	4.6	-26.3	0.12	2.21
DEJU_009-O-35.5-8-20180619	3.2	-26.6	0.89	25.01
DEJU_009-M-35.5-8-20180619	5.3	-26.1	0.38	8.29
DEJU_015-O-22-5.5-20180619	1.5	-27.1	1.54	30.85
DEJU_015-M-22-5.5-20180619	4.3	-26.1	0.07	1.04
DEJU_015-O-15.5-2.5-20180619	2.7	-27.7	0.74	18.54
DEJU_015-O-15.5-2.5-20180619	2.9	-27.7	0.74	18.3
DEJU_015-M-15.5-2.5-20180619	4.7	-26.6	0.06	1.03
DEJU_015-O-37-30-20180619	3.4	-27.1	0.72	14.63
DEJU_015-M-37-30-20180619	4.6	-26.5	0.11	1.9
DEJU_048-O-36.5-25.5-20180621	2.1	-28.1	0.5	20.88
