sampleID	soilInWaterpH	soilInCaClpH
DEJU_001-O-2-34.5-20180619	4.94	4.24
DEJU_001-M-2-34.5-20180619	5.64	4.83
DEJU_001-O-20.5-37.5-20180619	4.73	4.02
DEJU_002-O-12.5-31-20180619	5.02	4.29
DEJU_001-M-20.5-37.5-20180619	5.31	4.86
DEJU_002-M-12.5-31-20180619	5.76	4.84
DEJU_001-O-24.5-6.5-20180619	4.19	3.83
DEJU_001-M-24.5-6.5-20180619	5.19	4.44
DEJU_002-O-21.5-30-20180619	5.09	4.27
DEJU_002-M-21.5-30-20180619	5.73	4.62
DEJU_002-O-9-18-20180619	5.58	5.14
DEJU_002-M-9-18-20180619	5.75	5.33
DEJU_009-O-16.5-31.5-20180619	4.61	3.97
DEJU_009-M-16.5-31.5-20180619	5.38	5.26
DEJU_009-O-36.5-23.5-20180619	4.49	3.85
DEJU_009-M-36.5-23.5-20180619	5.27	4.57
DEJU_009-O-35.5-8-20180619	5.22	4.14
DEJU_009-M-35.5-8-20180619	5.05	4.36
DEJU_015-O-22-5.5-20180619	4.34	3.61
DEJU_015-M-22-5.5-20180619	5.46	5.07
DEJU_015-O-15.5-2.5-20180619	4.36	3.7
DEJU_015-M-15.5-2.5-20180619	5.37	4.69
DEJU_015-O-37-30-20180619	4.49	3.81
DEJU_015-M-37-30-20180619	5.17	4.52
DEJU_048-O-36.5-25.5-20180621	4.69	4.66
DEJU_047-O-2.5-32.5-20180621	5.23	4.82
DEJU_047-M-2.5-32.5-20180621	5.35	4.57
DEJU_048-M-36.5-25.5-20180621	5.06	4.2
DEJU_047-O-32-18.5-20180621	4.47	3.79
DEJU_047-M-32-18.5-20180621	5.66	5.07
DEJU_048-O-20.5-7.5-20180621	4.77	3.91
DEJU_047-O-39-21.5-20180621	4.47	3.72
DEJU_048-M-20.5-7.5-20180621	5.29	5.94
DEJU_047-M-39-21.5-20180621	4.96	4.07
DEJU_048-O-16.5-8-20180621	4.49	3.41
DEJU_048-M-16.5-8-20180621	5.64	5.49
DEJU_045-O-33.5-0-20180621	4.82	4.09
DEJU_045-M-33.5-0-20180621	5.53	5.17
DEJU_045-O-37.5-28-20180621	5.86	4.81
DEJU_045-M-37.5-28-20180621	5.41	4.58
DEJU_045-O-7.5-30-20180621	4.45	3.64
DEJU_045-M-7.5-30-20180621	5.99	5.11
DEJU_046-O-32.5-5-20180621	4.75	3.72
DEJU_046-M-32.5-5-20180621	5.54	5.01
DEJU_046-O-15-0-20180621	4.59	3.88
DEJU_046-M-15-0-20180621	5.6	5.3
DEJU_046-O-2.5-20.5-20180621	4.72	3.81
DEJU_046-M-2.5-20.5-20180621	4.84	4.15
